id,device_id,product_code_id,is_primary
264,K760306,ILT,1
265,K760307,FOB,1
266,K760308,FSE,1
267,K760311,FSM,1
268,K760312,GXY,1
269,K760313,KZD,1
270,K760314,CAX,1
271,K760315,FNJ,1
272,K760316,KDP,1
273,K760317,KDP,1
274,K760318,GFO,1
275,K760319,FOZ,1
276,K760320,KCT,1
277,K760322,KLC,1
278,K760323,EAP,1
279,K760324,KLE,1
280,K760325,HTX,1
281,K760326,HNF,1
282,K760327,INF,1
283,K760328,LDQ,1
284,K760329,BYG,1
285,K760330,CAT,1
286,K760331,EFB,1
287,K760332,JIF,1
288,K760333,GCX,1
289,K760334,HRY,1
290,K760335,CAF,1
291,K760336,JHI,1
292,K760337,CAT,1
293,K760338,CCL,1
294,K760339,BZQ,1
295,K760340,BZQ,1
296,K760341,KFZ,1
297,K760342,LDQ,1
298,K760343,CAZ,1
299,K760345,CFJ,1
300,K760346,JPZ,1
301,K760347,CGA,1
302,K760348,CCZ,1
303,K760349,JIT,1
304,K760350,CCE,1
305,K760351,DWS,1
306,K760352,CAZ,1
307,K760353,GEH,1
308,K760354,DCK,1
309,K760355,CIX,1
310,K760357,FZG,1
311,K760358,DRX,1
312,K760359,GEI,1
313,K760360,FME,1
314,K760361,GES,1
315,K760362,KDC,1
316,K760363,GES,1
317,K760364,GES,1
318,K760365,FPY,1
319,K760366,JPZ,1
320,K760368,DSI,1
321,K760369,EBF,1
322,K760370,FRN,1
323,K760371,BSY,1
324,K760372,BTT,1
325,K760373,CGJ,1
326,K760374,FHS,1
327,K760376,DYH,1
328,K760377,EBF,1
329,K760378,DYH,1
330,K760379,EJS,1
331,K760380,JCY,1
332,K760381,JCY,1
333,K760382,GCD,1
334,K760383,KGZ,1
335,K760384,KGZ,1
336,K760385,KGZ,1
337,K760386,DQO,1
338,K760387,DQO,1
339,K760388,DQO,1
340,K760389,FGY,1
341,K760390,JCY,1
342,K760391,JCY,1
343,K760392,FMF,1
344,K760393,FOB,1
345,K760394,JFS,1
346,K760395,JJQ,1
347,K760397,CJE,1
348,K760398,CJE,1
349,K760399,CJE,1
350,K760400,KLE,1
351,K760401,DLN,1
352,K760402,DQO,1
353,K760403,DRE,1
354,K760404,KLC,1
355,K760405,EBC,1
356,K760406,CIG,1
357,K760407,CIG,1
358,K760408,CIG,1
359,K760409,CIG,1
360,K760410,CFJ,1
361,K760411,CFJ,1
362,K760412,CFJ,1
363,K760413,ITG,1
364,K760414,CDQ,1
365,K760415,CIJ,1
366,K760416,DOG,1
367,K760417,EBF,1
368,K760418,EBC,1
369,K760419,EBD,1
370,K760420,KPQ,1
371,K760421,FLL,1
372,K760422,GAD,1
373,K760423,KCX,1
374,K760424,JJJ,1
375,K760425,HIL,1
376,K760426,HIL,1
377,K760427,BSY,1
378,K760428,FSM,1
379,K760429,OXO,1
380,K760430,CDS,1
381,K760433,ETA,1
382,K760434,ETB,1
383,K760435,ETB,1
384,K760437,ETB,1
385,K760438,ETD,1
386,K760439,ETD,1
387,K760440,KOD,1
388,K760441,IMD,1
389,K760442,CAF,1
390,K760443,DTB,1
391,K760444,HQB,1
392,K760445,ELC,1
393,K760448,DXL,1
394,K760449,JJX,1
395,K760451,OCX,1
396,K760452,FDF,1
397,K760453,JOH,1
398,K760454,JDW,1
399,K760455,HHD,1
400,K760456,FWZ,1
401,K760457,JSJ,1
402,K760458,JTW,1
403,K760459,JSG,1
404,K760460,JSJ,1
405,K760461,BXJ,1
406,K760462,IPF,1
407,K760463,DPS,1
408,K760464,DQC,1
409,K760465,DPS,1
410,K760466,IXR,1
411,K760467,JQC,1
412,K760468,CIC,1
413,K760469,KOZ,1
414,K760470,JJJ,1
415,K760471,FTC,1
416,K760472,KQO,1
417,K760473,CIX,1
418,K760474,CJE,1
419,K760475,CIC,1
420,K760476,CFJ,1
421,K760477,CDH,1
422,K760478,CDW,1
423,K760479,CIG,1
424,K760480,CEK,1
425,K760481,FRF,1
426,K760482,FTC,1
427,K760483,KZD,1
428,K760485,KQC,1
429,K760487,KQC,1
430,K760488,CAE,1
431,K760489,CAF,1
432,K760490,FOB,1
433,K760491,LDR,1
434,K760492,FNY,1
435,K760494,FNY,1
436,K760495,FNY,1
437,K760496,FMH,1
438,K760497,LRP,1
439,K760500,DXL,1
440,K760501,JXG,1
441,K760502,JXG,1
442,K760503,IPF,1
443,K760504,JOM,1
444,K760505,KZD,1
445,K760506,KHO,1
446,K760507,GEN,1
447,K760508,DSH,1
448,K760509,IOL,1
449,K760510,DPS,1
450,K760512,EFW,1
451,K760513,DTB,1
452,K760516,DXZ,1
453,K760517,KYX,1
454,K760518,BYF,1
455,K760519,IOB,1
456,K760520,BXW,1
457,K760521,KTZ,1
458,K760522,KQS,1
459,K760523,DXJ,1
460,K760524,GCD,1
461,K760527,ILO,1
462,K760532,DXG,1
463,K760533,DYG,1
464,K760539,DSF,1
465,K760542,DPS,1
466,K760543,CIX,1
467,K760544,FKO,1
468,K760545,FRW,1
469,K760546,KHS,1
470,K760547,IPF,1
471,K760549,JPK,1
472,K760550,HQJ,1
473,K760551,CAT,1
474,K760552,FLK,1
475,K760553,JJQ,1
476,K760554,FYA,1
477,K760556,KDH,1
478,K760560,KGO,1
479,K760562,FWP,1
480,K760563,DXH,1
481,K760564,DXH,1
482,K760565,CAI,1
483,K760566,BTT,1
484,K760567,CAH,1
485,K760568,IZO,1
486,K760569,IZO,1
487,K760570,EIB,1
488,K760571,JES,1
489,K760572,CDX,1
490,K760573,ITM,1
491,K760574,ILI,1
492,K760575,IPG,1
493,K760576,ILG,1
494,K760577,IQJ,1
495,K760578,IPG,1
496,K760579,FSM,1
497,K760580,CCQ,1
498,K760581,GKL,1
499,K760582,GKL,1
500,K760584,BTT,1
501,K760585,CAF,1
502,K760586,JOL,1
503,K760587,BTT,1
504,K760588,JTY,1
505,K760589,JSK,1
506,K760591,JHX,1
507,K760592,JJH,1
508,K760593,DRT,1
509,K760594,JPA,1
510,K760595,IZD,1
511,K760596,JPK,1
512,K760597,JPK,1
513,K760598,JTY,1
514,K760599,KLC,1
515,K760600,DXG,1
516,K760601,GCY,1
517,K760602,KEO,1
518,K760604,ITY,1
519,K760605,GES,1
520,K760609,ESD,1
521,K760611,CAH,1
522,K760612,DPS,1
523,K760613,KIC,1
524,K760614,BXN,1
525,K760616,ISA,1
526,K760617,JDZ,1
527,K760618,FMQ,1
528,K760619,CDD,1
529,K760620,DYN,1
530,K760621,JRC,1
531,K760622,JJC,1
532,K760623,IDZ,1
533,K760624,DWS,1
534,K760625,KOC,1
535,K760626,KOC,1
536,K760627,KOC,1
537,K760628,KOC,1
538,K760629,KOC,1
539,K760630,KOC,1
540,K760631,KOC,1
541,K760632,KOC,1
542,K760633,KOC,1
543,K760634,CEO,1
544,K760635,FLS,1
545,K760636,JDZ,1
546,K760637,KOC,1
547,K760638,KOC,1
548,K760639,KOC,1
549,K760640,KOC,1
550,K760641,IZQ,1
551,K760642,JJE,1
552,K760643,IZQ,1
553,K760644,IQK,1
554,K760645,DWS,1
555,K760646,DWS,1
556,K760647,FCW,1
557,K760648,DWS,1
558,K760649,JDN,1
559,K760650,GAP,1
560,K760651,JDG,1
561,K760652,EOX,1
562,K760653,EQH,1
563,K760655,DXQ,1
564,K760656,EJR,1
565,K760657,EIG,1
566,K760658,EJR,1
567,K760659,EJK,1
568,K760660,LBH,1
569,K760661,FRG,1
570,K760662,FRG,1
571,K760663,CBK,1
572,K760665,KOC,1
573,K760666,FMG,1
574,K760667,FMG,1
575,K760668,CAD,1
576,K760669,DXY,1
577,K760670,DXY,1
